#{"t_start": 1749052564.5378902, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,9.306082
-200.0,200,9.323463
-200.0,200,9.337476
-200.0,200,9.368756
-200.0,200,9.401356
-200.0,200,10.23618
-200.0,200,11.117528
-200.0,200,11.921246
-200.0,200,12.82045
-200.0,200,13.760137
-200.0,200,14.51004
-200.0,200,15.368004
-200.0,200,16.323482
-200.0,200,17.089011
-200.0,200,17.917135
-200.0,200,18.779189
-200.0,200,19.797037
-200.0,200,20.766244
-200.0,200,21.64166
-200.0,200,22.407196
-200.0,200,23.266659
-200.0,200,24.095766
-200.0,200,24.879096
-200.0,200,25.552568
-200.0,200,26.438848
-200.0,200,27.252108
-200.0,200,28.095863
-200.0,200,28.988851
-200.0,200,30.070843
-200.0,200,30.898986
-200.0,200,31.758376
-200.0,200,32.608343
-200.0,200,33.711312
-200.0,200,34.564023
-200.0,200,35.630653
-200.0,200,36.494642
-200.0,200,37.51876
-200.0,200,38.339412
-200.0,200,39.282686
-200.0,200,40.295421
-200.0,200,41.229481
-200.0,200,42.048528
-200.0,200,42.955597
-200.0,200,43.738734
-200.0,200,44.668638
-200.0,200,45.61823
-200.0,200,46.601771
-200.0,200,47.475072
-200.0,200,48.411829
-200.0,200,49.302667
-200.0,200,50.231591
-200.0,200,51.110141
-200.0,200,52.069913
-200.0,200,52.960556
-200.0,200,53.884603
-200.0,200,54.765484
-200.0,200,55.686086
-200.0,200,56.520769
-200.0,200,57.453437
-200.0,200,58.359005
-200.0,200,59.30625
-200.0,200,60.207505
-200.0,200,61.154546
-200.0,200,62.020839
-200.0,200,62.971874
-200.0,200,63.875459
-200.0,200,64.89851
-200.0,200,65.5758
-200.0,200,66.472573
-200.0,200,67.358225
-200.0,200,68.258366
-200.0,200,69.147012
-200.0,200,70.082062
-200.0,200,70.936277
-200.0,200,71.877685
-200.0,200,72.711764
-200.0,200,73.664804
-200.0,200,74.643438
-200.0,200,75.519588
-200.0,200,76.357525
-200.0,200,77.668242
-200.0,200,78.760108
-200.0,200,79.866619
-200.0,200,82.182285
-200.0,200,83.187125
-200.0,200,84.178736
-200.0,200,85.276106
-200.0,200,86.224924
-200.0,200,87.350118
-200.0,200,88.206424
-200.0,200,89.077141
-200.0,200,89.998585
-200.0,200,90.953897
-200.0,200,91.837074
-200.0,200,92.844362
-200.0,200,93.88182
-200.0,200,94.895021
-200.0,200,95.67546
-200.0,200,96.668073
-200.0,200,97.642574
-200.0,200,98.642855
-200.0,200,99.740875
-200.0,200,100.736714
-200.0,200,101.793072
-200.0,200,102.744384
-200.0,200,103.752704
-200.0,200,104.76057
-200.0,200,105.687071
-200.0,200,106.63133
-200.0,200,107.736636
-200.0,200,108.850069
-200.0,200,109.718029
-200.0,200,110.728158
-200.0,200,111.619925
-200.0,200,112.602775
-200.0,200,113.69156
-200.0,200,114.760997
-200.0,200,115.666068
-200.0,200,116.675603
-200.0,200,117.662436
-200.0,200,118.554186
-200.0,200,119.463607
-200.0,200,120.440782
-200.0,200,121.431314
-200.0,200,122.511531
-200.0,200,123.689051
-200.0,200,124.73436
-200.0,200,125.653879
-200.0,200,126.438609
-200.0,200,127.437853
-162.0,162,128.234742
-200.0,200,129.142067
-200.0,200,130.267229
-200.0,200,131.271766
-200.0,200,132.342253
-200.0,200,133.610297
-200.0,200,134.794513
-200.0,200,135.770679
-200.0,200,136.801978
-200.0,200,137.839161
-200.0,200,138.91659
-123.0,123,139.457089
-200.0,200,140.458652
-200.0,200,141.328555
-200.0,200,142.490507
-200.0,200,143.43363
-200.0,200,144.490544
-200.0,200,145.49966
-200.0,200,146.499576
-200.0,200,147.518698
-200.0,200,148.580199
-200.0,200,149.571728
-200.0,200,150.71838
-200.0,200,151.589798
-200.0,200,152.783794
-200.0,200,153.68567
-200.0,200,154.648298
-200.0,200,155.564684
-200.0,200,156.44861
-200.0,200,157.447367
-200.0,200,158.488455
-200.0,200,159.412738
-200.0,200,160.348547
-200.0,200,161.230155
-200.0,200,162.2409
-200.0,200,163.205674
-200.0,200,164.221385
-200.0,200,165.265436
-200.0,200,166.17312
-200.0,200,167.152102
-200.0,200,168.152498
-200.0,200,169.063395
-200.0,200,170.079566
-147.0,147,170.766861
-200.0,200,171.731223
-200.0,200,172.810943
-200.0,200,173.742498
-200.0,200,174.757283
-200.0,200,175.660012
-200.0,200,176.647174
-200.0,200,177.763749
-200.0,200,178.821403
-200.0,200,179.825153
-200.0,200,180.797163
-200.0,200,182.258922
-200.0,200,183.386378
-200.0,200,184.444583
-200.0,200,185.636555
-200.0,200,186.579093
-200.0,200,187.433271
-200.0,200,188.392127
-188.0,188,189.337698
-200.0,200,190.393408
-200.0,200,191.322912
-192.0,192,192.394508
-200.0,200,193.41013
-200.0,200,194.485964
-200.0,200,195.552172
-187.0,187,196.444958
-200.0,200,197.474337
-190.0,190,198.476344
-200.0,200,199.355806
-182.0,182,200.403517
-200.0,200,201.369895
-188.0,188,202.17498
-200.0,200,203.013893
-143.0,143,203.796648
-200.0,200,204.795674
-200.0,200,205.810044
-200.0,200,206.785099
-200.0,200,207.629547
-200.0,200,208.622075
-200.0,200,209.550025
-200.0,200,210.539377
-200.0,200,211.434032
-200.0,200,212.403579
-200.0,200,213.349416
-176.0,176,214.137833
-200.0,200,215.160975
-200.0,200,216.139329
-200.0,200,217.061132
-200.0,200,217.767407
-200.0,200,218.763945
-200.0,200,219.630064
-200.0,200,220.705306
-200.0,200,221.521448
-200.0,200,222.557161
-200.0,200,223.590398
-200.0,200,224.609211
-200.0,200,225.512697
-142.0,142,226.200316
-200.0,200,227.261411
-200.0,200,228.265417
-200.0,200,229.227614
-195.0,195,230.208947
-200.0,200,231.32217
-148.0,148,232.164799
-200.0,200,233.136735
-170.0,170,233.97208
-200.0,200,234.944258
-200.0,200,235.946242
-200.0,200,236.859678
-114.0,114,237.312608
-200.0,200,238.451299
-193.0,193,239.462337
-170.0,170,240.315544
-200.0,200,241.255542
-200.0,200,242.844579
-110.0,110,243.325974
-200.0,200,244.425588
-200.0,200,245.336616
-200.0,200,246.520116
-200.0,200,247.465359
-200.0,200,248.273696
-200.0,200,249.250771
-200.0,200,250.373849
-200.0,200,251.427692
-200.0,200,252.407339
-200.0,200,253.473406
-168.0,168,254.337544
-117.0,117,254.960167
-200.0,200,256.157819
-200.0,200,257.02722
-177.0,177,257.790929
-200.0,200,258.85208
-91.0,91,259.326296
-192.0,192,260.238185
-154.0,154,260.956987
-200.0,200,261.900408
-118.0,118,262.481542
-200.0,200,263.360465
-123.0,123,263.737103
-200.0,200,264.431028
-179.0,179,265.156518
-157.0,157,265.933481
-191.0,191,266.823403
-200.0,200,267.724994
-200.0,200,268.728116
-200.0,200,269.643701
-164.0,164,270.368496
-200.0,200,271.429945
-120.0,120,271.992922
-165.0,165,272.802228
-163.0,163,273.559229
-200.0,200,274.489182
-200.0,200,275.492006
-200.0,200,276.542296
-151.0,151,277.315037
-200.0,200,278.411425
-151.0,151,279.255757
-126.0,126,280.000339
